1,1,0,1000,4
86401,1,0,1100,4
172801,1,0,1210,4
259201,1,0,1331,4
345601,1,0,1464,4
432001,1,0,1610,4
518401,1,0,1771,4
604801,1,0,1948,4
691201,1,0,2143,19
777601,1,0,2357,19
864001,1,0,2593,19
950401,1,0,2853,19
1036801,1,0,3138,19
1123201,1,0,3452,19
1209601,1,0,3797,19
1296001,1,0,4177,57
1382401,1,0,4594,57
1468801,1,0,5054,57
1555201,1,0,5559,57
1641601,1,0,6115,57
1728001,1,0,6727,57
1814401,1,0,7400,57
1900801,1,0,8140,131
1987201,1,0,8954,131
2073601,1,0,9849,131
2160001,1,0,10834,131
2246401,1,0,11918,131
2332801,1,0,13109,131
2419201,1,0,14420,131
2505601,1,0,15863,257
2592001,1,0,17349,257
2678401,1,0,18974,257
2764801,1,0,20750,257
2851201,1,0,22692,257
2937601,1,0,24815,257
3024001,1,0,27136,257
3110401,1,0,29672,462
3196801,1,0,32444,462
3283201,1,0,35689,462
3369601,1,0,39258,462
3456001,1,0,43184,462
3542401,1,0,47502,462
3628801,1,0,52252,462
3715201,1,0,57478,831
3801601,1,0,63226,831
3888001,1,0,69548,831
3974401,1,0,76503,831
4060801,1,0,84153,831
4147201,1,0,92569,831
4233601,1,0,101826,831
4320001,1,0,112008,1378
4406401,1,0,123209,1378
4492801,1,0,135530,1378
4579201,1,0,149083,1378
4665601,1,0,163992,1378
4752001,1,0,180391,1378
4838401,1,0,198430,1378
4924801,1,0,218273,2154
5011201,1,0,240100,2154
5097601,1,0,264111,2154
5184001,1,0,290522,2154
5270401,1,0,319574,2154
5356801,1,0,351531,2154
5443201,1,0,386684,2154
5529601,1,0,425353,3215
5616001,1,0,467888,3215
5702401,1,0,514677,3215
5788801,1,0,566145,3215
5875201,1,0,622759,3215
5961601,1,0,685035,3215
6048001,1,0,753539,3215
6134401,1,0,828893,4623
6220801,1,0,911782,4623
6307201,1,0,1002961,4623
6393601,1,0,1103257,4623
6480001,1,0,1213582,4623
6566401,1,0,1334941,4623
6652801,1,0,1468435,4623
6739201,1,0,1615278,5214
6825601,1,0,1776806,5214
6912001,1,0,1954487,5214
6998401,1,0,2149936,5214
7084801,1,0,2364929,5214
7171201,1,0,2601422,5214
7257601,1,0,2861565,5214
7344001,1,0,3147721,5214
7430401,1,0,3462493,5214
7516801,1,0,3808743,5214
7603201,1,0,4189617,5214
7689601,1,0,4608579,5214
7776001,1,0,5069437,5214
7862401,1,0,5576381,5214
7948801,1,0,6134019,5214
8035201,1,0,6747421,5214
8121601,1,0,7422163,5214
8208001,1,0,8164379,5214
8294401,1,0,8980817,5214
8380801,1,0,9878899,5214
8467201,0,0,10000000,5214
8553601,0,0,10000000,5214
8640001,0,0,10000000,5214
8726401,0,0,10000000,5214
8812801,0,0,10000000,5214
8899201,0,0,10000000,5214
8985601,0,0,10000000,5214
9072001,0,0,10000000,5214
9158401,0,0,10000000,5214
9244801,0,0,10000000,5214
9331201,0,0,10000000,5214
9417601,0,0,10000000,5214
9504001,0,0,10000000,5214
9590401,0,0,10000000,5214
9676801,0,0,10000000,5214
9763201,0,0,10000000,5214
9849601,0,0,10000000,5214
9936001,0,0,10000000,5214
10022401,0,0,10000000,5214
10108801,0,0,10000000,5214
10195201,0,0,10000000,5214
10281601,0,0,10000000,5214
